id,RowVersion,code,namefr,namear,nameen,credits,institution_id
39D7C9F3-4A1F-9567-6F45-4C460649025C,null,020TCOES2,Techniques d'expression et de communication,Techniques d'expression et de communication,Techniques d'expression et de communication,2,7A83F250-A04A-90B9-60C9-795A1EF0F942
801DFB9A-0584-BE24-A470-9F7C250718A4,null,020IA2ES4,Intelligence artificielle,Intelligence artificielle,Intelligence artificielle,4,7A83F250-A04A-90B9-60C9-795A1EF0F942
B232C05E-294F-ABD4-A6A8-BFC29F7F8A3E,null,020PSYES5,Programmation système,Programmation système,Programmation système,4,7A83F250-A04A-90B9-60C9-795A1EF0F942
230B307A-605A-9AEA-8635-A5F4CB4525DC,null,020PIGES4,Projet informatique de gestion,Projet informatique de gestion,Projet informatique de gestion,5,7A83F250-A04A-90B9-60C9-795A1EF0F942
9E240DBF-B3C6-3CA0-30E9-3A2CB847D848,null,026ADWIM1,Administration Windows,Administration Windows,Administration Windows,6,4C4D2749-F832-65EB-945B-58648D4E0369
8AC02A64-9AE7-A1AF-9BF7-C108E73064F5,null,026ELA1L2,Électronique 1,Électronique 1,Électronique 1,6,4C4D2749-F832-65EB-945B-58648D4E0369
52BF29A9-D978-1FD8-8C7B-E0A782762BA3,null,026NTIPM1,Nouvelles technologies pour réseaux IP,Nouvelles technologies pour réseaux IP,Nouvelles technologies pour réseaux IP,6,4C4D2749-F832-65EB-945B-58648D4E0369
E5A6E6EB-2DBE-4D26-4E63-FC01234AA4FA,null,026CILOL1,Circuits logiques,Circuits logiques,Circuits logiques,6,4C4D2749-F832-65EB-945B-58648D4E0369
7BA90525-F468-580A-A123-6A951B9C0468,null,026ANL1L1,Analyse 1,Analyse 1,Analyse 1,6,4C4D2749-F832-65EB-945B-58648D4E0369
DF286568-8C57-2D2F-5172-7985A5D3AE1F,null,026RSL1L1,Réseaux et systèmes linéaires 1,Réseaux et systèmes linéaires 1,Réseaux et systèmes linéaires 1,6,4C4D2749-F832-65EB-945B-58648D4E0369
45C89BC9-6252-FE7D-5C13-62F1E354CD84,null,026ACS1L2,Activités sportives 1,Activités sportives 1,Activités sportives 1,1,4C4D2749-F832-65EB-945B-58648D4E0369
4B71E1D3-DEC1-E679-730C-6852DFA6B56E,null,026ADUNM1,Administration Unix,Administration Unix,Administration Unix,6,4C4D2749-F832-65EB-945B-58648D4E0369
6043D484-F08C-209C-62B5-B20EA40E9A78,null,026ELMAL3,Électromagnétisme,Électromagnétisme,Électromagnétisme,5,4C4D2749-F832-65EB-945B-58648D4E0369
185E48EF-C4F3-563C-F15C-8B9DB0F59875,null,026ALGBL1,"Algèbre",4,4C4D2749-F832-65EB-945B-58648D4E0369
B6526369-FB3F-4DFD-4787-B713B0C7CD43,null,026PHYGL1,Physique générale,Physique générale,Physique générale,5,4C4D2749-F832-65EB-945B-58648D4E0369
E13FD837-EBC3-A856-58F4-79590EDF1208,null,026PRJ1M2,Projet 1,Projet 1,Projet 1,6,4C4D2749-F832-65EB-945B-58648D4E0369
EBAEB717-CAEF-2352-C7FC-6DCD4AD48B46,null,026ELNUL3,Électronique numérique,Électronique numérique,Électronique numérique,5,4C4D2749-F832-65EB-945B-58648D4E0369
52D2B238-7CA0-1CF9-F13B-60132E7C1E31,null,026ACS2L3,Activités sportives 2,Activités sportives 2,Activités sportives 2,1,4C4D2749-F832-65EB-945B-58648D4E0369
505E8A10-8EBC-E8FE-F8C8-E9860EB5A368,null,026INREL4,Introduction aux réseaux ,Introduction aux réseaux ,Introduction aux réseaux ,5,4C4D2749-F832-65EB-945B-58648D4E0369
